,Weekday,Hour,Region,Avg_Traffic
551,5,14,1,75.53846154
552,5,14,2,919.2307692
553,5,14,3,1017.846154
554,5,14,4,716.1538462
555,5,15,0,296.6153846
556,5,15,1,79.07692308
557,5,15,2,854.9230769
558,5,15,3,932.9230769
559,5,15,4,678.6153846
560,5,16,0,298.3076923
561,5,16,1,88
562,5,16,2,834.7692308
563,5,16,3,988.7692308
564,5,16,4,656.6153846
565,5,17,0,356.6153846
566,5,17,1,95
567,5,17,2,1086.461538
568,5,17,3,977.8461538
569,5,17,4,846.3076923
570,5,18,0,372.1538462
571,5,18,1,66.15384615
572,5,18,2,1213.538462
573,5,18,3,916.3076923
574,5,18,4,1091.076923
575,5,19,0,318
576,5,19,1,57.83333333
577,5,19,2,972.6153846
578,5,19,3,828.6153846
579,5,19,4,1040.153846
580,5,20,0,269.8461538
581,5,20,1,45.66666667
582,5,20,2,700.6153846
583,5,20,3,738.1538462
584,5,20,4,860
585,5,21,0,304.4615385
586,5,21,1,48
587,5,21,2,592.4615385
588,5,21,3,847.3846154
589,5,21,4,844.3076923
590,5,22,0,294.4615385
591,5,22,1,43.33333333
592,5,22,2,550.4615385
593,5,22,3,826
594,5,22,4,893.5384615
595,5,23,0,184.4615385
596,5,23,1,44.66666667
597,5,23,2,489.2307692
598,5,23,3,647.2307692
599,5,23,4,995.5384615
600,6,0,0,146.3076923
601,6,0,1,32
602,6,0,2,411.6923077
603,6,0,3,480
604,6,0,4,1164.153846
605,6,1,0,115.3333333
606,6,1,1,16.16666667
607,6,1,2,292.9230769
608,6,1,3,288.6153846
609,6,1,4,1249.076923
610,6,2,0,98.66666667
611,6,2,1,16
612,6,2,2,224.4615385
613,6,2,3,179.8461538
614,6,2,4,1092.307692
615,6,3,0,34.66666667
616,6,3,1,6.923076923
617,6,3,2,150
618,6,3,3,99.83333333
619,6,3,4,475.6923077
620,6,4,0,12.5
621,6,4,1,3.5
622,6,4,2,46.5
623,6,4,3,50
624,6,4,4,143.8333333
625,6,5,0,11.83333333
626,6,5,1,3.555555556
627,6,5,2,37.33333333
628,6,5,3,35.66666667
629,6,5,4,89.16666667
630,6,6,0,13.5
631,6,6,1,5.4
632,6,6,2,68.76923077
633,6,6,3,70.5
634,6,6,4,126.3076923
635,6,7,0,27.5
636,6,7,1,7.4
637,6,7,2,148.6666667
638,6,7,3,109
639,6,7,4,218.1538462
640,6,8,0,52
641,6,8,1,8.833333333
642,6,8,2,256.8333333
643,6,8,3,169.6666667
644,6,8,4,388.3333333
645,6,9,0,72.83333333
